review_id,product_id,customer_id,review_dates,ratings,reviews
1,1,1,2023-09-15,4,"The item took much longer to arrive than expected, and the customer service was unresponsive to my concerns."
2,2,2,2024-04-05,5,"I'm disappointed with the quality of the product; it didn't match the deascription, and it arrived damaged."
3,3,3,2023-08-23,1,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
4,4,4,2023-09-15,3,"I'm disappointed with the quality of the product; it didn't match the deascription, and it arrived damaged."
5,5,5,2024-02-08,2,"Absolutely thrilled with my purchase! The quality exceeded my expectations, and the shipping was super fast."
6,6,6,2024-07-22,3,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
7,7,7,2023-08-21,2,I'm impressed with the attention to detail and the care taken in packaging. Will definitely be ordering again!
8,8,8,2024-06-26,4,"The item took much longer to arrive than expected, and the customer service was unresponsive to my concerns."
9,9,9,2023-12-31,2,"The item took much longer to arrive than expected, and the customer service was unresponsive to my concerns."
10,10,10,2023-11-05,2,I'm impressed with the attention to detail and the care taken in packaging. Will definitely be ordering again!
11,11,11,2024-07-02,3,"Absolutely thrilled with my purchase! The quality exceeded my expectations, and the shipping was super fast."
12,12,12,2024-04-10,1,"The item took much longer to arrive than expected, and the customer service was unresponsive to my concerns."
13,13,13,2024-07-25,4,"Absolutely thrilled with my purchase! The quality exceeded my expectations, and the shipping was super fast."
14,14,14,2023-09-18,1,"I'm disappointed with the quality of the product; it didn't match the deascription, and it arrived damaged."
15,15,15,2024-03-10,4,I'm impressed with the attention to detail and the care taken in packaging. Will definitely be ordering again!
16,16,16,2024-06-12,2,"Absolutely thrilled with my purchase! The quality exceeded my expectations, and the shipping was super fast."
17,17,17,2024-04-30,1,"The item took much longer to arrive than expected, and the customer service was unresponsive to my concerns."
18,18,18,2023-08-21,4,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
19,19,19,2024-03-15,4,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
20,20,20,2023-11-04,1,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
21,21,21,2024-05-25,1,I'm impressed with the attention to detail and the care taken in packaging. Will definitely be ordering again!
22,22,22,2023-11-20,1,"The item took much longer to arrive than expected, and the customer service was unresponsive to my concerns."
23,23,23,2024-07-10,2,I'm impressed with the attention to detail and the care taken in packaging. Will definitely be ordering again!
24,24,24,2024-03-03,4,"Absolutely thrilled with my purchase! The quality exceeded my expectations, and the shipping was super fast."
25,25,25,2023-11-26,5,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
26,26,26,2023-10-15,5,"I'm disappointed with the quality of the product; it didn't match the deascription, and it arrived damaged."
27,27,27,2024-07-25,3,I'm impressed with the attention to detail and the care taken in packaging. Will definitely be ordering again!
28,28,28,2023-11-17,5,"I'm disappointed with the quality of the product; it didn't match the deascription, and it arrived damaged."
29,29,29,2024-01-20,2,"Absolutely thrilled with my purchase! The quality exceeded my expectations, and the shipping was super fast."
30,30,30,2024-08-06,5,I'm impressed with the attention to detail and the care taken in packaging. Will definitely be ordering again!
31,31,31,2023-12-21,4,I'm impressed with the attention to detail and the care taken in packaging. Will definitely be ordering again!
32,32,32,2024-02-07,1,"I'm disappointed with the quality of the product; it didn't match the deascription, and it arrived damaged."
33,33,33,2024-07-21,4,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
34,34,34,2024-06-18,4,I'm impressed with the attention to detail and the care taken in packaging. Will definitely be ordering again!
35,35,35,2023-12-25,5,"Absolutely thrilled with my purchase! The quality exceeded my expectations, and the shipping was super fast."
36,36,36,2024-05-15,3,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
37,37,37,2024-04-17,5,I'm impressed with the attention to detail and the care taken in packaging. Will definitely be ordering again!
38,38,38,2024-04-25,2,"Absolutely thrilled with my purchase! The quality exceeded my expectations, and the shipping was super fast."
39,39,39,2024-08-02,5,"Absolutely thrilled with my purchase! The quality exceeded my expectations, and the shipping was super fast."
40,40,40,2023-09-25,1,"Absolutely thrilled with my purchase! The quality exceeded my expectations, and the shipping was super fast."
