product_id,category,names,descriptions
1,Electronics,Smartwatch,Sleek design combined with exceptional functionality.
2,Accessories,Watch,"Versatile and durable, designed to meet your everyday needs."
3,Clothing,Jacket,Sleek design combined with exceptional functionality.
4,Accessories,Belt,Crafted with quality materials for long-lasting use.
5,Electronics,Smartwatch,Crafted with quality materials for long-lasting use.
6,Electronics,Earbuds,Sleek design combined with exceptional functionality.
7,Footwear,Boots,High-quality construction with attention to detail.
8,Electronics,Smartphone,"Versatile and durable, designed to meet your everyday needs."
9,Clothing,Dress,Sleek design combined with exceptional functionality.
10,Home Appliances,Coffee Maker,Sleek design combined with exceptional functionality.
11,Footwear,Sandals,"Perfect blend of style, comfort, and practicality."
12,Clothing,T-Shirt,Crafted with quality materials for long-lasting use.
13,Footwear,Boots,"Versatile and durable, designed to meet your everyday needs."
14,Home Appliances,Coffee Maker,"Perfect blend of style, comfort, and practicality."
15,Accessories,Scarf,"Perfect blend of style, comfort, and practicality."
16,Home Appliances,Blender,"Perfect blend of style, comfort, and practicality."
17,Home Appliances,Microwave,"Perfect blend of style, comfort, and practicality."
18,Footwear,Sneakers,High-quality construction with attention to detail.
19,Home Appliances,Coffee Maker,Crafted with quality materials for long-lasting use.
20,Footwear,Sandals,"Versatile and durable, designed to meet your everyday needs."
21,Clothing,Dress,High-quality construction with attention to detail.
22,Clothing,T-Shirt,Crafted with quality materials for long-lasting use.
23,Footwear,Running Shoes,Crafted with quality materials for long-lasting use.
24,Electronics,Smartphone,"Versatile and durable, designed to meet your everyday needs."
25,Home Appliances,Blender,Crafted with quality materials for long-lasting use.
26,Electronics,Smartphone,Sleek design combined with exceptional functionality.
27,Accessories,Belt,Sleek design combined with exceptional functionality.
28,Accessories,Hat,Sleek design combined with exceptional functionality.
29,Electronics,Laptop,"Perfect blend of style, comfort, and practicality."
30,Accessories,Scarf,High-quality construction with attention to detail.
31,Accessories,Hat,Sleek design combined with exceptional functionality.
32,Electronics,Laptop,"Versatile and durable, designed to meet your everyday needs."
33,Footwear,Sandals,"Versatile and durable, designed to meet your everyday needs."
34,Footwear,Running Shoes,Crafted with quality materials for long-lasting use.
35,Footwear,Sneakers,Sleek design combined with exceptional functionality.
36,Footwear,Sandals,High-quality construction with attention to detail.
37,Home Appliances,Blender,Crafted with quality materials for long-lasting use.
38,Accessories,Belt,"Perfect blend of style, comfort, and practicality."
39,Home Appliances,Blender,"Perfect blend of style, comfort, and practicality."
