review_id,product_id,customer_id,review_dates,rating,review_texts
1,1,1,2023-10-19,4,I'm impressed with the attention to detail and the care taken in packaging. Will definitely be ordering again!
2,2,2,2023-10-31,2,I'm impressed with the attention to detail and the care taken in packaging. Will definitely be ordering again!
3,3,3,2023-11-28,5,I'm impressed with the attention to detail and the care taken in packaging. Will definitely be ordering again!
4,4,4,2024-01-19,4,"Absolutely thrilled with my purchase! The quality exceeded my expectations, and the shipping was super fast."
5,5,5,2024-07-20,1,"I'm disappointed with the quality of the product; it didn't match the description, and it arrived damaged."
6,6,6,2024-07-13,5,"I'm disappointed with the quality of the product; it didn't match the description, and it arrived damaged."
7,7,7,2024-02-17,5,I'm impressed with the attention to detail and the care taken in packaging. Will definitely be ordering again!
8,8,8,2023-10-06,1,"Absolutely thrilled with my purchase! The quality exceeded my expectations, and the shipping was super fast."
9,9,9,2023-10-25,4,"The item took much longer to arrive than expected, and the customer service was unresponsive to my concerns."
10,10,10,2024-04-07,4,"I'm disappointed with the quality of the product; it didn't match the description, and it arrived damaged."
11,11,11,2024-07-25,2,"I'm disappointed with the quality of the product; it didn't match the description, and it arrived damaged."
12,12,12,2024-07-26,3,"The item took much longer to arrive than expected, and the customer service was unresponsive to my concerns."
13,13,13,2023-11-06,1,I'm impressed with the attention to detail and the care taken in packaging. Will definitely be ordering again!
14,14,14,2024-03-28,4,"Absolutely thrilled with my purchase! The quality exceeded my expectations, and the shipping was super fast."
15,15,15,2023-09-06,5,I'm impressed with the attention to detail and the care taken in packaging. Will definitely be ordering again!
16,16,16,2024-03-17,4,I'm impressed with the attention to detail and the care taken in packaging. Will definitely be ordering again!
17,17,17,2024-06-18,1,"Absolutely thrilled with my purchase! The quality exceeded my expectations, and the shipping was super fast."
18,18,18,2024-02-20,4,I'm impressed with the attention to detail and the care taken in packaging. Will definitely be ordering again!
19,19,19,2024-03-23,1,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
20,20,20,2024-07-06,3,"The item took much longer to arrive than expected, and the customer service was unresponsive to my concerns."
21,21,21,2024-06-07,5,"Absolutely thrilled with my purchase! The quality exceeded my expectations, and the shipping was super fast."
22,22,22,2024-03-13,5,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
23,23,23,2023-11-18,2,"I'm disappointed with the quality of the product; it didn't match the description, and it arrived damaged."
24,24,24,2024-07-25,1,I'm impressed with the attention to detail and the care taken in packaging. Will definitely be ordering again!
25,25,25,2024-06-17,3,"Absolutely thrilled with my purchase! The quality exceeded my expectations, and the shipping was super fast."
26,26,26,2024-05-21,1,"I'm disappointed with the quality of the product; it didn't match the description, and it arrived damaged."
27,27,27,2023-11-24,2,"I'm disappointed with the quality of the product; it didn't match the description, and it arrived damaged."
28,28,28,2024-02-11,5,"I'm disappointed with the quality of the product; it didn't match the description, and it arrived damaged."
29,29,29,2024-02-17,2,"Absolutely thrilled with my purchase! The quality exceeded my expectations, and the shipping was super fast."
30,30,30,2024-03-15,2,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
31,31,31,2024-07-26,3,"I'm disappointed with the quality of the product; it didn't match the description, and it arrived damaged."
32,32,32,2024-01-24,4,"The item took much longer to arrive than expected, and the customer service was unresponsive to my concerns."
33,33,33,2023-09-02,2,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
34,34,34,2024-06-14,1,"Absolutely thrilled with my purchase! The quality exceeded my expectations, and the shipping was super fast."
35,35,35,2024-01-30,1,"I'm disappointed with the quality of the product; it didn't match the description, and it arrived damaged."
36,36,36,2023-09-17,3,"Absolutely thrilled with my purchase! The quality exceeded my expectations, and the shipping was super fast."
37,37,37,2023-08-23,4,I'm impressed with the attention to detail and the care taken in packaging. Will definitely be ordering again!
38,38,38,2024-02-17,1,"The item took much longer to arrive than expected, and the customer service was unresponsive to my concerns."
39,39,39,2024-08-19,5,"Absolutely thrilled with my purchase! The quality exceeded my expectations, and the shipping was super fast."
40,40,40,2024-01-22,1,I'm impressed with the attention to detail and the care taken in packaging. Will definitely be ordering again!
41,41,41,2024-04-24,4,I'm impressed with the attention to detail and the care taken in packaging. Will definitely be ordering again!
42,42,42,2024-07-04,5,I'm impressed with the attention to detail and the care taken in packaging. Will definitely be ordering again!
43,43,43,2024-06-23,2,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
44,44,44,2024-03-13,1,"Absolutely thrilled with my purchase! The quality exceeded my expectations, and the shipping was super fast."
45,45,45,2024-07-25,1,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
46,46,46,2024-04-30,1,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
47,47,47,2024-03-23,2,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
48,48,48,2024-04-11,5,I'm impressed with the attention to detail and the care taken in packaging. Will definitely be ordering again!
49,49,49,2024-01-01,5,"I'm disappointed with the quality of the product; it didn't match the description, and it arrived damaged."
50,50,50,2023-09-20,5,"I'm disappointed with the quality of the product; it didn't match the description, and it arrived damaged."
51,51,51,2024-06-15,4,"Absolutely thrilled with my purchase! The quality exceeded my expectations, and the shipping was super fast."
52,52,52,2023-12-17,5,I'm impressed with the attention to detail and the care taken in packaging. Will definitely be ordering again!
53,53,53,2024-01-04,3,"I'm disappointed with the quality of the product; it didn't match the description, and it arrived damaged."
54,54,54,2024-03-28,5,"The item took much longer to arrive than expected, and the customer service was unresponsive to my concerns."
55,55,55,2024-04-30,4,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
56,56,56,2023-12-28,3,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
57,57,57,2023-10-22,4,"The item took much longer to arrive than expected, and the customer service was unresponsive to my concerns."
58,58,58,2024-07-12,3,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
59,59,59,2024-02-29,2,I'm impressed with the attention to detail and the care taken in packaging. Will definitely be ordering again!
60,60,60,2023-10-16,2,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
61,61,61,2024-06-18,4,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
62,62,62,2024-06-02,1,"Absolutely thrilled with my purchase! The quality exceeded my expectations, and the shipping was super fast."
63,63,63,2024-07-15,2,I'm impressed with the attention to detail and the care taken in packaging. Will definitely be ordering again!
64,64,64,2023-12-18,2,"Absolutely thrilled with my purchase! The quality exceeded my expectations, and the shipping was super fast."
65,65,65,2024-03-13,2,"Absolutely thrilled with my purchase! The quality exceeded my expectations, and the shipping was super fast."
